module,column,year,code,label_old,status_old,evidence_old,label_new,status_new,evidence_new
02,dominio,2006,1,Costa Norte,verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift",Costa norte,verified,"INEI's official 2006 Diccionario de Datos states it outright: 'DOMINIO ... 1 Costa Norte'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
02,dominio,2006,2,Costa Centro,verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift",Costa centro,verified,"INEI's official 2006 Diccionario de Datos states it outright: 'DOMINIO ... 2 Costa Centro'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
02,dominio,2006,3,Costa Sur,verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift",Costa sur,verified,"INEI's official 2006 Diccionario de Datos states it outright: 'DOMINIO ... 3 Costa Sur'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
02,dominio,2006,4,Sierra Norte,verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift",Sierra norte,verified,"INEI's official 2006 Diccionario de Datos states it outright: 'DOMINIO ... 4 Sierra Norte'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
02,dominio,2006,5,Sierra Centro,verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift",Sierra centro,verified,"INEI's official 2006 Diccionario de Datos states it outright: 'DOMINIO ... 5 Sierra Centro'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
02,dominio,2006,6,Sierra Sur,verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift",Sierra sur,verified,"INEI's official 2006 Diccionario de Datos states it outright: 'DOMINIO ... 6 Sierra Sur'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
02,dominio,2006,8,Lima Metropolitana,verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift",Lima metropolitana,verified,"INEI's official 2006 Diccionario de Datos states it outright: 'DOMINIO ... 8 Lima Metropolitana'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
02,estrato,2006,1,"Centros poblados de más de 100,000 viviendas",verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift","Centros poblados mayor de 100,000 viviendas.",verified,"INEI's official 2006 Diccionario de Datos states it outright: 'ESTRATO ... 1 Centros poblados mayor de 100,000 viviendas.'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
02,estrato,2006,2,"Centros poblados de 20,001 a 100,000 viviendas",verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift","Centros poblados de 20,001 a 100,000 viviendas.",verified,"INEI's official 2006 Diccionario de Datos states it outright: 'ESTRATO ... 2 Centros poblados de 20,001 a 100,000 viviendas.'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
02,estrato,2006,3,"Centros poblados de 10,001 a 20,000 viviendas",verified,"INEI ENAHO 2006 Diccionario de Datos, exact ENAHO01-2006-200 category table; repaired after regression test detected a one-row extraction shift","Centros poblados de 10,001 a 20,000 viviendas.",verified,"INEI's official 2006 Diccionario de Datos states it outright: 'ESTRATO ... 3 Centros poblados de 10,001 a 20,000 viviendas.'. The .dta simply omits the value label that the published dictionary carries. Exact year, exact variable, exact code."
